Category,Type,Parent,Description,Node Type,Edge Type
Renewables,Renewables,,Renewable energy sources are naturally replenished.,Domain,
Renewables,Solar,Renewables,Solar energy is harnessed from the sun's rays.,Energy Source,Has Source
Renewables,Wind,Renewables,Wind energy is generated from the movement of air.,Energy Source,Has Source
Renewables,Geothermal,Renewables,Geothermal energy is derived from the heat stored beneath the Earth's surface.,Energy Source,Has Source
Renewables,Hydropower,Renewables,Hydropower energy is generated from the flow of water in rivers and dams.,Energy Source,Has Source
Renewables,Field-Mounted Wind,Wind,Wind turbines installed in open fields.,Installation Type,Has Installation Type
Renewables,Offshore Wind,Wind,"Wind turbines installed in bodies of water, typically oceans.",Installation Type,Has Installation Type
Renewables,Building-Mounted Wind,Wind,Wind turbines installed on buildings.,Installation Type,Has Installation Type
Renewables,Distributed Wind,Wind,Smaller wind turbines installed in various locations.,Installation Type,Has Installation Type
Renewables,Photovoltaic Cells,Solar,Devices that convert sunlight directly into electricity.,Technology,Uses Technology
Renewables,Thin-Film Cells,Photovoltaic Cells,Photovoltaic cells made from thin layers of semiconductor materials.,Technology,Has Variant
Renewables,Silicon-based Cells,Photovoltaic Cells,"Photovoltaic cells made from silicon, the most common type.",Technology,Has Variant
Renewables,Cadmium Telluride (CdTe),Thin-Film Cells,A type of thin-film solar cell made from cadmium telluride.,Material,Made Of
Renewables,Copper Indium Gallium Selenide (CIGS),Thin-Film Cells,"A type of thin-film solar cell made from copper, indium, gallium, and selenium.",Material,Made Of
Renewables,Amorphous Silicon (a-Si),Thin-Film Cells,A type of thin-film solar cell made from non-crystalline silicon.,Material,Made Of
Renewables,Monocrystalline Silicon,Silicon-based Cells,A type of silicon solar cell made from a single crystal structure.,Material,Made Of
Renewables,Polycrystalline Silicon,Silicon-based Cells,A type of silicon solar cell made from multiple crystal structures.,Material,Made Of
Renewables,Solar Module Components,Solar,"Components that make up solar modules, including cells and frames.",Component Group,Has Component Group
Renewables,Glass Cover,Solar Module Components,The protective glass layer on top of solar modules.,Component,Has Component
Renewables,Encapsulants,Solar Module Components,Materials that protect solar cells from moisture and mechanical damage.,Component,Has Component
Renewables,Backsheet,Solar Module Components,The rear protective layer of solar modules.,Component,Has Component
